Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
"GILES, INC",ANDREW SKALSKY,,13385 CALLE COLINA,,POWAY,CA,92064-1606,,dr.a.skalsky@gmail.com,9Y6V8,48,073,SQBEGDN5ZWQ1,,,1231,,USA,CA,07/10/2024,Branch,7320,858-361-7502,,,2022,SC,,,325412,,,"13385 CALLE COLINA, , POWAY, CA 92064-1606",92064
"AZTEC MANUFACTURING, INC",SHARON MCKENZIE,,13821 DANIELSON ST,,POWAY,CA,92064-6891,,sharon@aztecwasher.com,57729,48,073,G4PWDHM2C7B9,,,1231,,USA,CA,07/10/2024,Branch,7320,858-513-4350,,,1970,SC,,,326299,,,"13821 DANIELSON ST, , POWAY, CA 92064-6891",92064
CENTREX DATA CORPORATION,GRANT PAGE,,12232 THATCHER CT,,POWAY,CA,92064-6876,,gpage@centrexIT.com,9YZF0,48,073,HZFDB2HXHWX8,,,1231,,USA,CA,08/13/2024,Branch,7320,619-651-8700,,,2002,CP,,,541513,,,"12232 THATCHER CT, , POWAY, CA 92064-6876",92064
CCC WASH,PHIL BOURNE,,14407 TWIN PEAKS RD,,POWAY,CA,92064-3118,,bourne.phil@fseprecision.com,01J95,48,073,TXZMVKGSFMN7,,,1231,,USA,CA,09/11/2024,Branch,7320,760-295-4733,,www.fseprecision.com,2018,SC,,,"332322, 332710, 333514, 333992, 339999",,,"14407 TWIN PEAKS RD, , POWAY, CA 92064-3118",92064
SUPPLY MEDIC LLC,DAVID GALINDO,,14145 TIERRA BONITA RD,,POWAY,CA,92064-3444,,858galindo@gmail.com,01F24,48,073,FM3CGKK2FTD9,,,1231,,USA,CA,10/05/2024,Branch,7320,858-208-7854,,,2024,LL,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran",541618,,,"14145 TIERRA BONITA RD, , POWAY, CA 92064-3444",92064
"A-1 PUMPCRETE, INC",TIM REGAN,,14037 POWAY RD,,POWAY,CA,92064-4809,,timregan@a1pumpcrete.com,8FR24,48,073,YT73MDELJVV1,,,1231,,USA,CA,09/13/2024,Branch,7320,619-206-7867,,,2017,CP,,,"238110, 333923",,,"14037 POWAY RD, , POWAY, CA 92064-4809",92064
"CHEF WORKS, INC",GASTON BROADWELL,,12325 KERRAN ST,,POWAY,CA,92064-6801,,gbroadwell@chefworks.com,1UBT1,48,073,DWFNPBNLP8S7,,,1231,,USA,MA,09/27/2024,Branch,7320,800-643-5600,CHEF WORKS INC,www.chefworks.com,1994,CP,,,315990,,,"12325 KERRAN ST, , POWAY, CA 92064-6801",92064
"DESIGN BUILD FIRE PROTECTION, INC.",KARIN BORJESON,,13771 DANIELSON ST STE G,,POWAY,CA,92064-8840,"Design Build Fire Protection, Inc. is a woman-owned small business specializing in top-tier fire protection services across various industries. We offer a comprehensive range of fire safety solutions, including design and installation of sprinkler systems, with focus on tenant improvement projects. Our team has extensive expertise in system design, custom system fabrication, and managing fire alarm/suppression systems, ensuring that each project is tailored to meet the specific safety needs of our clients. In addition to installation, we excel in routine inspections, testing, and system maintenance to ensure compliance and optimal performance. By maintaining efficient fire protection systems, we help reduce risks and enhance safety for commercial and residential properties. Our commitment to quality service, safety, and precision makes us a trusted partner in the fire protection industry, delivering reliable and tailored solutions to meet client requirements.",karinb@dbfireinc.com,5WYY1,48,073,SNEJTN976WW9,https://www.designbuildfire.com/,,1231,,USA,CA,10/16/2024,Branch,7320,858-248-3109,,,2008,CP,Service,Self-Certified Small Disadvantaged Business,"238210, 238220, 561621",,,"13771 DANIELSON ST STE G, , POWAY, CA 92064-8840",92064
KAVASO INVESTMENTS LLC,VADIM AGAMIRZOYAN,,17801 JOYAS CT,,POWAY,CA,92064-,,lamesare@gmail.com,0J5Q9,48,073,WHZ2YJGG5A78,,,1231,,USA,AZ,12/06/2024,Branch,7320,619-962-1747,,,2021,CP,,Self-Certified Small Disadvantaged Business,"531190, 531190",,,"17801 JOYAS CT, , POWAY, CA 92064-",92064
BUMBLEBEE CONSTRUCTION,QIN JI,,15597 PASEO DEL ARROYO,,POWAY,CA,92064-2151,,bumblebeeconstructionsd@gmail.com,0Q370,48,073,SLTTCVEX8NM8,,,1231,,USA,CA,01/03/2025,Branch,7320,619-988-5647,,,2022,CP,,,"221310, 221320, 236118, 236220, 237110, 237120, 237130, 237310, 237990, 237990, 238120, 238130, 238210, 238290, 238310, 238320, 238340, 238350, 238910, 238990, 238990, 324121, 488490, 561730, 561790, 562910, 562910",,,"15597 PASEO DEL ARROYO, , POWAY, CA 92064-2151",92064
"CYBERDYNE CONSTRUCTION, LLC",TONY LOPEZ,,17848 OLD WINEMASTER WAY,,POWAY,CA,92064-1062,,tlopez@cdsolarenergy.com,0Q7L3,48,073,ZTM3ZJNCW7W3,,,1231,,USA,CA,01/03/2025,Branch,7320,760-975-6609,CYBERDYNE SOLAR,,2018,PS,,"Hispanic American, Other Minority Owned","221114, 221115, 221116, 221117, 221118, 236220, 237130, 238110, 238210, 238990, 238990, 335312, 335999, 541330, 541330, 541330, 541330, 541620, 541690",,,"17848 OLD WINEMASTER WAY, , POWAY, CA 92064-1062",92064
CASEMAN GPC LLC,JAMES MAGRAS,,13125 DANIELSON ST STE 107,,POWAY,CA,92064-8873,,info@gpcinc.com,0Q7E3,48,073,WYYEDKR941Q8,,,1231,,USA,CA,01/03/2025,Branch,7320,858-467-7900,,,2024,PS,,,"326111, 326150, 326199, 332420",,,"13125 DANIELSON ST STE 107, , POWAY, CA 92064-8873",92064
"COMPONENT SURFACES, INC.",SHELBEA WEDERMANN,,11880 COMMUNITY RD,STE 380,POWAY,CA,92064-8877,,swedermann@componentsurfaces.com,0QBQ7,48,073,TPL8MNLLM5S4,,,1231,,USA,CA,01/03/2025,Branch,7320,858-513-3656,COMPONENT SURFACES INC,https://componentsurfaces.com,2004,SC,,Veteran,332813,,,"11880 COMMUNITY RD, STE 380, POWAY, CA 92064-8877",92064
NEOVOLTA INC,STEVE BOND,,13651 DANIELSON ST STE A,,POWAY,CA,92064-6892,,sbond@neovolta.com,0QJ39,48,073,KYBFWNELPV48,,,0630,,USA,NV,01/14/2025,Branch,7320,619-846-4516,,,2018,CP,,,335311,,,"13651 DANIELSON ST STE A, , POWAY, CA 92064-6892",92064
"VIRTUS VERA, LLC",MARK BRUNELL,,17094 GOODEVE DR,,POWAY,CA,92064-1141,,mb@virtusvera.com,0UQB5,48,073,RJUJQANPXES7,,,1024,,USA,CA,03/08/2025,Branch,7320,619-841-8409,,,2024,SL,,"Asian Pacific American, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","541611, 561422",,,"17094 GOODEVE DR, , POWAY, CA 92064-1141",92064
INNOVATIVE COMPLIANCE INCORPORATED,AMARA HUGHES,,12838 BLANCO CT,,POWAY,CA,92064-5712,,mai.hughes@iciteam.com,105R2,48,073,QMD6KAWLXQM6,,,1231,,USA,CA,02/26/2025,Branch,7320,720-563-9027,,www.iciteam.com,2015,SC,,"Self-Certified Small Disadvantaged Business, Woman Owned","213112, 237120, 541330, 541330, 541330, 541330, 541690",,,"12838 BLANCO CT, , POWAY, CA 92064-5712",92064
PREMIER ROOFING OF CALIFORNIA PROC LLC,SERGIO GARCIA,,12834 ROCKWELL CT,,POWAY,CA,92064-3835,,contact@proc-teslaroof.com,10E14,48,073,L7RSWBFLWXH9,,,1231,,USA,CA,03/05/2025,Branch,7320,858-254-6292,,,2024,SC,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Service-Disabled Veteran, Veteran","221114, 238160, 238170, 238190, 238390, 238990, 238990",,,"12834 ROCKWELL CT, , POWAY, CA 92064-3835",92064
"COI CERAMICS, INC.",ROBERT BERNHARDT,Director of Technology,7130 MIRAMAR RD,,SAN DIEGO,CA,92121-2353,"Ceramic matrix composites, ceramic fibers, specialty ceramics",robert.bernhardt@ngc.com,1KP38,51,073,JHL1LUML1R65,,858-621-5770,1231,,USA,CA,11/06/2024,Branch,7320,858-621-7395,,,1999,CP,"Manufacturing, R and D, Service",,"336413, 336419",,,"7130 MIRAMAR RD, , SAN DIEGO, CA 92121-2353",92121
"STELLAR DATA, INC.",ADAM YAMINI,Sales Director,6904 MIRAMAR RD,STE 108,SAN DIEGO,CA,92121-2618,"We carry and have access to over 200,000 computer products, new and refurbished from all major manufacturers. We also specialize in hard to find parts for Sun Microsystems, HP, IBM, Cisco, Sony, 3Com, Nortel, Compaq and many more.",adam@stellardata.com,09SW1,51,073,G1B6HD7NGL97,http://adam@stellardata.com,858-653-0434,0901,,USA,CA,10/30/2024,Branch,7320,858-653-0400,,www.stellardata.com,1997,CP,,Woman Owned,"332722, 334111, 334112, 334511, 336320, 336390, 336412, 336413, 336415, 336419, 336992, 423430, 423610, 423690",,,"6904 MIRAMAR RD, STE 108, SAN DIEGO, CA 92121-2618",92121
INDUSTRIAL SECURITY ALLIANCE PARTNERS INC,BRIAN KELLY,,10350 SCIENCE CENTER DR,STE 100,SAN DIEGO,CA,92121-1133,"ISAP manufactures short, mid, and long range thermal IR security systems and solutions.",bmk@isapusa.com,1MJ07,50,073,D8NFTHEAD9H8,,,1231,,USA,NV,09/27/2024,Branch,7320,619-206-0846,,www.isapusa.com,2000,CP,"Manufacturing, Service",,541613,,,"10350 SCIENCE CENTER DR, STE 100, SAN DIEGO, CA 92121-1133",92121
"NOVATRON, INC.",REGINALD CLARK,,5080 SEA MIST CT,,SAN DIEGO,CA,92121-4226,"R&D, technology development int the areas biological agent protection, detection of chemical agents, UV systems, optics and electrical systems",wayne@novatroninc.com,1QXX0,51,073,J6VYZDVLFC97,,,1231,,USA,CA,02/20/2025,Branch,7320,858-775-5258,NOVATRON INC,http://www.novatroninc.com,2000,SC,,Veteran,"541715, 541715, 541715, 541715",,,"5080 SEA MIST CT, , SAN DIEGO, CA 92121-4226",92121
"AMRAD, INC",BRUCE HOLTON,,9255 TOWNE CENTRE DR STE 350,,SAN DIEGO,CA,92121-3060,"Specializing in custom scalable communication system design and installation. Tactical communication systems, dispatch command control systems, advanced antenna systems, systems integration, and professional two-way radio solutions.",bholton@goamrad.com,4LNS5,50,073,FZDBKZLGH863,https://www.goamrad.com/,619-239-5925,1231,,USA,NV,01/23/2025,Branch,7320,619-239-5020,,www.goamrad.com,2004,SC,Service,,"334220, 517121",,,"9255 TOWNE CENTRE DR STE 350, , SAN DIEGO, CA 92121-3060",92121
"INTERNATIONAL WEIGHING SYSTEMS, INC",GIESELA WIERE MUCCILLO,,9865 MESA RIM RD STE 213,,SAN DIEGO,CA,92121-2980,"Weighing Equipment Sales, service, rental, repair facility, OEM scale equipment",iwsscales@aol.com,1VLZ7,51,073,KZ68LYKY3GM9,,858-784-0542,0402,,USA,CA,09/12/2024,Branch,7320,858-784-0598,INTERNATIONAL WEIGHING SERVICES INC,http://www.iwsscales.com,2000,CP,,Woman Owned,811310,,,"9865 MESA RIM RD STE 213, , SAN DIEGO, CA 92121-2980",92121
"BUCKLEY, MICHAEL",MIKE BUCKLEY,,9936 MESA RIM RD,,SAN DIEGO,CA,92121-2910,,tacdepot3@yahoo.com,1FEQ1,51,073,CVKFDH7NTJ14,,,1231,,USA,CA,01/30/2025,Branch,7320,619-368-4489,R B ENTERPRISES,,1993,SL,,,334111,,,"9936 MESA RIM RD, , SAN DIEGO, CA 92121-2910",92121
"BIOPEPTIDE CO., INC.",MICHAEL FREYDKIN,Director of Peptide Chemistry,10457 ROSELLE ST STE 1,,SAN DIEGO,CA,92121-1542,Design synthesis and production of peptides using t-Boc/Fmoc solid phase and solution phase technology. Difficult custom peptides from milligram to multigram scale. High quality peptides with a fast turnaround time.,sales@biopeptide.com,3E6V8,50,073,FY67WKL4LAS3,http://www.biopeptide.com/,858-657-9440,1231,,USA,CA,05/03/2024,Branch,7320,800-909-2494,BIOPEPTIDE CO INC,https://www.biopeptide.com/,1999,SC,"Manufacturing, R and D, Service",,541714,,,"10457 ROSELLE ST STE 1, , SAN DIEGO, CA 92121-1542",92121
"UNIVERSAL STABILIZATION TECHNOLOGIES, INC.",VICTOR BRONSHTEIN,President and Chief Sci. Officer,4050 SORRENTO VALLEY BLVD,STE L,SAN DIEGO,CA,92121-1425,"Formulation of ambient temperature stable vaccines, therapeutic proteins, probiotics, and other biologicals",victorb@ustsd.com,3GCA5,51,073,M7VASTVN1J49,http://www.ustsd.com,858-625-2897,0930,,USA,DE,07/17/2024,Branch,7320,858-625-2890,UNIVERSAL STABILIZATION TECHNOLOGIES,http://www.vitrilife.com,2002,CP,"R and D, Service",,541714,,,"4050 SORRENTO VALLEY BLVD, STE L, SAN DIEGO, CA 92121-1425",92121
PROSPECT COMPUTER AND COMMUNICATIONS INC,JEFF KOLANO,,10635 ROSELLE ST STE A,,SAN DIEGO,CA,92121-1530,,Jeff@prospectcom.com,00Z19,50,073,C2JKP4NJMXW1,,858-459-3287,1031,,USA,CA,12/20/2024,Branch,7320,858-459-3200,PROSPECT COMPUTER & COMMUNICATION INC,http://www.prospectcom.com,1992,CP,,,"334111, 334210, 423690, 532490, 811210, 811310",,,"10635 ROSELLE ST STE A, , SAN DIEGO, CA 92121-1530",92121
"VIROGENICS, INC.",WILLIAM RASCHKE,,4050 SORRENTO VALLEY BLVD,,SAN DIEGO,CA,92121-1425,"gene therapy, immune regulation, infectious disease",braschke@virogenicsinc.com,476X3,51,073,UFJ8JM4CXU22,,,1231,,USA,CA,03/07/2025,Branch,7320,858-450-2561,VIROGENICS,,2003,CP,R and D,,"238990, 238990",,,"4050 SORRENTO VALLEY BLVD, , SAN DIEGO, CA 92121-1425",92121
"GLORY SUPPLY, INC.",GAIL BRYANT,,"4445 EASTGATE MALL, SUITE 200",,SAN DIEGO,CA,92121-1979,"Glory Supply, Inc., was established in September 2007 and is certified as a Small and Woman owned Business Enterprise. GSI is a wholesaler of office supplies, materials and commodities, including Military Aircraft Maintenance, electrical, plumbing, HVAC supplies, MRO commodities and Equipment Rental. Glory’s mission is to provide its’ Military, government agencies and private sector customers with quality products and unsurpassed service. This is accomplished with experienced, competent staff dedicated to high ethical standards, integrity and ingenuity.",admin_glorysupply@nethere.com,4VTE5,50,073,JMWMZRLQ2V57,http://www.glorysupply.com,619-267-8857,1231,,USA,CA,05/01/2024,Branch,7320,619-838-2066,,,2007,CP,"Construction, Service",Woman Owned,"332999, 423310, 423330, 423390, 423410, 423420, 423440, 423450, 423490, 423510, 423610, 423620, 423710, 423720, 423730, 423740, 423820, 423830, 423840, 423850, 423860, 423910, 423930, 423990, 424120, 424910, 424950, 424990, 532412, 532490, 541690, 561110, 561210, 561499, 561720, 811310",,,"4445 EASTGATE MALL, SUITE 200, , SAN DIEGO, CA 92121-1979",92121
"KNICKERBOCKER CONSTRUCTION SERVICES, INC.",BILL KNICKERBOCKER,,8819 PRODUCTION AVE,,SAN DIEGO,CA,92121-2219,"B Licensed General Contractor - Specializing in all types of construction including but not limited to: tenant improvements, exterior improvements.",bill@1kcs.com,5BEV9,51,073,DGFNL2FTQ5M3,,858-547-9399,1231,,USA,CA,02/04/2025,Branch,7320,858-547-9300,KNICKERBOCKER CONSTRUCTION SERVICES INC,,2007,SC,Construction,,"236210, 236220, 238110, 238120, 238130, 238140, 238150, 238160, 238170, 238190, 238210, 238220, 238310, 238320, 238330, 238340, 238350, 238390",,,"8819 PRODUCTION AVE, , SAN DIEGO, CA 92121-2219",92121
THERINJECT LLC,STEVEN JOSEPHS,,10439 ROSELLE ST STE E,,SAN DIEGO,CA,92121-1544,,stevenjosephs@hotmail.com,58T48,50,073,C1J5KXT1J7M5,,,1231,,USA,CA,02/11/2025,Branch,7320,858-663-9693,,http://www.therinject.com,2008,LL,,"Self-Certified Small Disadvantaged Business, Veteran",621511,,,"10439 ROSELLE ST STE E, , SAN DIEGO, CA 92121-1544",92121
CHEMREGEN INC,JOHN CASHMAN,,6351 NANCY RIDGE DR STE B,,SAN DIEGO,CA,92121-2247,,jcashman@chemregen.com,5MEP9,51,073,JR72TJGV9JR7,,858-458-9311,1231,,USA,CA,02/14/2025,Branch,7320,858-458-9307,,http://www.chemregen.com/,2009,SC,,,"541714, 541715, 541715, 541715, 541715",,,"6351 NANCY RIDGE DR STE B, , SAN DIEGO, CA 92121-2247",92121
"GENERAL ENGINEERING & RESEARCH, L.L.C.",ROBIN IHNFELDT,,10459 ROSELLE ST,STE A,SAN DIEGO,CA,92121-1527,"Innovative Research in the nanotech, semiconductor, materials science, and chemical engineering fields. Engineering consulting services, including research and product development. Patent preparation, filing, and prosecution services.",rihnfeldt@geandr.com,5ME52,50,073,GKKUTN2NGXJ5,http://www.geandr.com,858-736-5069,1231,,USA,CA,02/07/2025,Branch,7320,858-736-5069,GENERAL ENGINEERING & RESEARCH LLC,,2009,LL,"R and D, Service",Woman Owned,"325180, 325998, 339999, 541199, 541330, 541330, 541330, 541330, 541690, 541713, 541714, 541715, 541715, 541715, 541715, 541990",,,"10459 ROSELLE ST, STE A, SAN DIEGO, CA 92121-1527",92121
"SORRENTO THERAPEUTICS, INC.",JOHN WALDHEIM,,"4955, DIRECTORS PLACE",,SAN DIEGO,CA,92121-3837,,jwaldheim@sorrentotherapeutics.com,5SPZ9,51,073,KWEWLHZ59FL3,,,1231,,USA,DE,08/22/2024,Branch,7320,305-988-8875,,,2006,CP,,Self-Certified Small Disadvantaged Business,541714,,,"4955, DIRECTORS PLACE, , SAN DIEGO, CA 92121-3837",92121
"BONITA PROFESSIONAL PLAZA, LLC",YUSVI GUERRERO,,5160 CARROLL CANYON RD STE 200,,SAN DIEGO,CA,92121-1775,,yguerrero@ma-engr.com,5YXH7,51,073,DRK4G2RNZRH4,,858-200-0037,1231,,USA,CA,09/21/2024,Branch,7320,858-200-0030,BONITA PROFESSIONAL PLAZA LLC,,2010,LL,,Self-Certified Small Disadvantaged Business,"531120, 531120",,,"5160 CARROLL CANYON RD STE 200, , SAN DIEGO, CA 92121-1775",92121
ENGAGE SYSTEMS LLC,ERIK HUSTOFT,,4445 EASTGATE MALL STE 200,,SAN DIEGO,CA,92121-1979,,ehustoft@engage-systems.com,6B2S0,50,073,CFF9E3MLM6U7,,858-455-5535,1231,,USA,CA,10/17/2024,Branch,7320,858-455-5535,,http://engage-systems.com,2010,LL,,,"423430, 561499",,,"4445 EASTGATE MALL STE 200, , SAN DIEGO, CA 92121-1979",92121
CHEMVEDA LIFE SCIENCES INC,BHEEMA PARASELLI,,9920 PACIFIC HEIGHTS BLVD,STE 150,SAN DIEGO,CA,92121-4361,,bheema@chemvedals.com,6C6C7,51,073,DR3LYH6LV989,,,1231,,USA,CA,08/10/2024,Branch,7320,858-922-6977,CHEMVEDA,,2009,SC,,Self-Certified Small Disadvantaged Business,"541715, 541715, 541715, 541715",,,"9920 PACIFIC HEIGHTS BLVD, STE 150, SAN DIEGO, CA 92121-4361",92121
FOMS INC,ELLA VOLFSON,,10505 ROSELLE STR STE 100,,SAN DIEGO,CA,92121-1553,,ella.y.volfson@hotmail.com,71GL5,50,073,NDPVZ77NXL21,http://www.fomsinc.com,,1231,,USA,CA,07/09/2024,Branch,7320,858-342-0993,,www.fomsinc.com,2009,SC,,Woman Owned,"541330, 541330, 541330, 541330",,,"10505 ROSELLE STR STE 100, , SAN DIEGO, CA 92121-1553",92121
VIVREON BIOSCIENCES LLC,MILTON GREENBERG,,6199 CORNERSTONE CT E STE 101,,SAN DIEGO,CA,92121-4740,,milton@vivreonbiosciences.com,75X47,51,073,P935LHN98ZV9,,,1231,,USA,CA,03/01/2025,Branch,7320,301-602-6875,VIVREON BIOSCIENCES LLC,,2014,LL,,,541714,,,"6199 CORNERSTONE CT E STE 101, , SAN DIEGO, CA 92121-4740",92121
"INOVA DRONE, INC.",GREGORY FREEMAN,,6640 LUSK BLVD,STE A203,SAN DIEGO,CA,92121-2777,,greg@inovadrone.com,7HN16,51,073,LPUFV7K9FKF6,,,1231,,USA,DE,08/21/2024,Branch,7320,305-829-5662,INOVA DRONE INC,www.inovadrone.com,2014,CP,,Self-Certified Small Disadvantaged Business,"336411, 336413, 541715, 541715, 541715, 541715",,,"6640 LUSK BLVD, STE A203, SAN DIEGO, CA 92121-2777",92121
"AIVOCODE, INC.",SAZID HUSSAIN,,9276 SCRANTON RD STE 500,,SAN DIEGO,CA,92121-7707,Development of probes for detection of different diseases,shussain@aivocode.com,7BT98,51,073,TLPZZJEMNND1,https://www.aivocode.com,,1231,,USA,DE,10/09/2024,Branch,7320,818-267-7912,,,2016,CP,R and D,,541714,,,"9276 SCRANTON RD STE 500, , SAN DIEGO, CA 92121-7707",92121
"APPLIED CX, LLC",MELISSA JAMES,,5160 CARROLL CANYON ROAD,SUITE 100,SAN DIEGO,CA,92121-1775,,mjames@appliedcx.net,7JTB2,51,073,N6AMVUWREKV7,,,1231,,USA,CA,07/18/2024,Branch,7320,619-379-2474,APPLIED CX,,2014,SL,,Self-Certified Small Disadvantaged Business,"541330, 541330, 541330, 541330",,,"5160 CARROLL CANYON ROAD, SUITE 100, SAN DIEGO, CA 92121-1775",92121
"JAAN BIOTHERAPEUTICS, INC.",BHAWANJIT BRAR,,6331 NANCY RIDGE DR STE 204,,SAN DIEGO,CA,92121-6204,Biotechnology company developing first in class therapies to treat heart failure,Bhawanjit.Brar@gmail.com,7CVJ0,51,073,VGD7J21JALN3,http://www.JaanBio.com,,1231,,USA,CA,01/28/2025,Branch,7320,858-869-3564,,,2015,CP,R and D,"Self-Certified Small Disadvantaged Business, Subcontinent Asian American, Woman Owned",541714,,,"6331 NANCY RIDGE DR STE 204, , SAN DIEGO, CA 92121-6204",92121
"CALCHEM SYNTHESIS, LLC",JALAL HADDAD,,3550 GENERAL ATOMICS CT,,SAN DIEGO,CA,92121-1122,,jhaddad@calchemsynthesis.com,7H0E6,50,073,TUFCZM8JKV31,http://www.calchemsynthesis.com,,1231,,USA,CA,09/26/2024,Branch,7320,858-455-6100,CALCHEM SYNTHESIS LLC,www.calchemsynthesis.com,2012,LL,,Self-Certified Small Disadvantaged Business,541714,,,"3550 GENERAL ATOMICS CT, , SAN DIEGO, CA 92121-1122",92121
"MD2 BIOSCIENCES, INC",SATHEESH RAVULA,,6725 MESA RIDGE RD STE 260,,SAN DIEGO,CA,92121-3938,,sravula@md2bio.com,7JQ82,51,073,VL4VEMHL2DL1,http://www.md2bio.com,,1231,,USA,DE,03/06/2025,Branch,7320,858-657-0918,MD2 BIOSCIENCES INC,www.md2bio.com,2015,CP,,,541714,,,"6725 MESA RIDGE RD STE 260, , SAN DIEGO, CA 92121-3938",92121
"MARKSMAN TARGETING, INC.",ROY BROWN,,5290 EASTGATE MALL,,SAN DIEGO,CA,92121-2815,,tbrown@marksmantargeting.com,7U3L3,51,073,QNKTGRANB371,https://www.marksmantargeting.com,,1231,,USA,DE,11/21/2024,Branch,7320,619-218-6460,MARKSMAN TARGETING INC,www.marksmantargeting.com,2016,CP,,"Hispanic American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Veteran",339112,,,"5290 EASTGATE MALL, , SAN DIEGO, CA 92121-2815",92121
"SECURECHECK360, LLC",KRANTI PONNAM,,6494 WEATHERS PL STE 200,,SAN DIEGO,CA,92121-2938,,info@securecheck360.com,7VWY4,51,073,ZKKEJFVNQM99,,,1231,,USA,CA,03/16/2024,Branch,7320,847-513-2999,SECURECHECK360 LLC,,2015,LL,,"Self-Certified Small Disadvantaged Business, Woman Owned","541611, 541612, 541618, 561499, 561611",,,"6494 WEATHERS PL STE 200, , SAN DIEGO, CA 92121-2938",92121
MERU-VASIMMUNE INC,ALESSANDRO ZARPELLON,,3550 444 GENERAL ATOMICS CT,,SAN DIEGO,CA,92121-,,zazapd@meruvas.com,7Y2A0,50,073,W2EACQWFZ2S7,,,1231,,USA,DE,11/07/2024,Branch,7320,619-867-0244,,www.meruvas.com,2016,CP,,,"541714, 541715, 541715, 541715, 541715",,,"3550 444 GENERAL ATOMICS CT, , SAN DIEGO, CA 92121-",92121
"IKNOWLEDGESHARE, INC.",KRISTINA KAUFMAN,,9920 PACIFIC HEIGHTS BLVD STE 150,,SAN DIEGO,CA,92121-4361,,kkaufman@iknowledgeshare.com,80M46,51,073,GJKSC75CXMS9,,,1231,,USA,CA,07/02/2024,Branch,7320,858-723-8028,IKNOWLEDGESHARE INC,,2014,SC,,,"611420, 611430",,,"9920 PACIFIC HEIGHTS BLVD STE 150, , SAN DIEGO, CA 92121-4361",92121
DEL MAR OCEANOGRAPHIC LLC,CHRIS KONTOES,,10477 ROSELLE ST STE D,,SAN DIEGO,CA,92121-1545,,chris@delmarocean.com,7XYV7,50,073,DS4LRFMNMBK4,,,1231,,USA,CA,10/18/2024,Branch,7320,858-291-2113,DEL MAR OCEANOGRAPHIC LLC,www.delmarocean.com,2015,LL,,Self-Certified Small Disadvantaged Business,"541330, 541330, 541330, 541330",,,"10477 ROSELLE ST STE D, , SAN DIEGO, CA 92121-1545",92121
CYBELE MICROBIOME INC,NICOLE SCOTT,,3210 MERRYFIELD ROW,,SAN DIEGO,CA,92121-1126,,nicole@cybelemicrobiome.com,804F4,50,073,FHD7DFC4VY53,,,1231,,USA,DE,09/20/2024,Branch,7320,734-355-6316,,https://www.cybelemicrobiome.com,2017,CP,,"Self-Certified Small Disadvantaged Business, Woman Owned",541714,,,"3210 MERRYFIELD ROW, , SAN DIEGO, CA 92121-1126",92121
NERD BIO LLC,ELMAR NURMEMMEDOV,,9276 SCRANTON RD STE 500,,SAN DIEGO,CA,92121-7707,,elmar.nerdbio@gmail.com,84F79,51,073,MN3NHA8ZYZJ2,,,1231,,USA,CA,12/21/2024,Branch,7320,781-366-4674,,,2018,CP,,,561499,,,"9276 SCRANTON RD STE 500, , SAN DIEGO, CA 92121-7707",92121
"SEMPERFORGE, INC",HUY LY,,9020 KENAMAR DR STE 203,,SAN DIEGO,CA,92121-2431,,huy@proto-solutions.com,84QB5,51,073,JNXMCJFCCQ98,http://www.proto-solutions.com,,1231,,USA,CA,01/29/2025,Branch,7320,858-939-1022,SEMPERFORGE INC,,2018,CP,,"Asian Pacific American, Other Minority Owned, Self-Certified Small Disadvantaged Business","332112, 332710, 339999",,,"9020 KENAMAR DR STE 203, , SAN DIEGO, CA 92121-2431",92121
GBC INNOVATIONS,DONALD CARR,,6235 LUSK BLVD,,SAN DIEGO,CA,92121-2731,,donnie@eie2.com,8GG25,51,073,HGGRGNFXCR63,,,1231,,USA,CA,01/08/2025,Branch,7320,858-558-3632,,eie2.com,2001,SC,,"Self-Certified Small Disadvantaged Business, Veteran","339114, 423450",,,"6235 LUSK BLVD, , SAN DIEGO, CA 92121-2731",92121
DKBRR CORP,TRINA KHANSARI,,8360 MIRAMAR PL STE B,,SAN DIEGO,CA,92121-2575,,trina@Certifiedcarcare.net,8JJP6,51,073,MYZAAQX9KDQ5,,,0309,,USA,CA,08/16/2024,Branch,7320,858-552-7860,,Certifiedcarcare.net,2020,SC,,Other Minority Owned,"811111, 811114, 811121, 811122, 811191, 811198, 811310",,,"8360 MIRAMAR PL STE B, , SAN DIEGO, CA 92121-2575",92121
